,date,prcp
0,2016-08-24,0.08
1,2016-08-24,2.15
2,2016-08-24,2.28
3,2016-08-24,
4,2016-08-24,1.22
5,2016-08-24,2.15
6,2016-08-24,1.45
7,2016-08-25,0.08
8,2016-08-25,0.08
9,2016-08-25,0.0
10,2016-08-25,0.0
11,2016-08-25,0.21
12,2016-08-25,0.06
13,2016-08-25,0.11
14,2016-08-26,0.0
15,2016-08-26,0.03
16,2016-08-26,0.02
17,2016-08-26,0.04
18,2016-08-26,0.0
19,2016-08-26,0.01
20,2016-08-27,0.0
21,2016-08-27,0.18
22,2016-08-27,0.02
23,2016-08-27,0.0
24,2016-08-27,0.12
25,2016-08-27,
26,2016-08-28,0.01
27,2016-08-28,0.14
28,2016-08-28,0.14
29,2016-08-28,0.14
30,2016-08-28,0.6
31,2016-08-28,2.07
32,2016-08-29,0.0
33,2016-08-29,0.17
34,2016-08-29,0.04
35,2016-08-29,
36,2016-08-29,0.0
37,2016-08-29,0.35
38,2016-08-29,0.9
39,2016-08-30,0.0
40,2016-08-30,0.0
41,2016-08-30,0.02
42,2016-08-30,0.0
43,2016-08-30,0.0
44,2016-08-30,0.05
45,2016-08-31,0.13
46,2016-08-31,0.1
47,2016-08-31,
48,2016-08-31,
49,2016-08-31,0.25
50,2016-08-31,0.24
51,2016-08-31,2.46
52,2016-09-01,0.0
53,2016-09-01,0.0
54,2016-09-01,0.0
55,2016-09-01,
56,2016-09-01,0.02
57,2016-09-01,0.01
58,2016-09-02,0.0
59,2016-09-02,0.02
60,2016-09-02,0.19
61,2016-09-02,
62,2016-09-02,
63,2016-09-02,0.01
64,2016-09-02,0.03
65,2016-09-03,0.0
66,2016-09-03,0.07
67,2016-09-03,0.08
68,2016-09-03,0.12
69,2016-09-03,1.0
70,2016-09-04,0.03
71,2016-09-04,0.03
72,2016-09-04,0.74
73,2016-09-04,0.14
74,2016-09-04,0.44
75,2016-09-05,
76,2016-09-05,0.11
77,2016-09-05,
78,2016-09-05,0.02
79,2016-09-05,0.03
80,2016-09-05,0.18
81,2016-09-06,
82,2016-09-06,0.05
83,2016-09-06,0.04
84,2016-09-06,0.03
85,2016-09-06,0.11
86,2016-09-06,1.0
87,2016-09-07,0.05
88,2016-09-07,0.1
89,2016-09-07,0.23
90,2016-09-07,0.11
91,2016-09-07,0.16
92,2016-09-07,1.35
93,2016-09-08,0.0
94,2016-09-08,0.22
